"X0000","X0001","X0002","X0003","X0004","X0005","X0006","X0007","X0008","X0009"
"X000A","X000B","X000C","X000D","X000E","X000F","X0010","X0011","X0012","X0013"
"X0014","X0015","X0016","X0017","X0018","X0019","X001A","X001B","X001C","X001D"
"X001E","X001F","X0020","X0021","X0022","X0023","X0024","X0025","X0026","X0027"
"X0028","X0029","X002A","X002B","X002C","X002D","X002E","X002F","X0030","X0031"
"X0032","X0033","X0034","X0035","X0036","X0037","X0038","X0039","X003A","X003B"
"X003C","X003D","X003E","X003F","X0040","X0041","X0042","X0043","X0044","X0045"
"X0046","X0047","X0048","X0049","X004A","X004B","X004C","X004D","X004E","X004F"
"X0050","X0051","X0052","X0053","X0054","X0055","X0056","X0057","X0058","X0059"
"X005A","X005B","X005C","X005D","X005E","X005F","X0060","X0061","X0062","X0063"
"X0064","X0065","X0066","X0067","X0068","X0069","X006A","X006B","X006C","X006D"
"X006E","X006F","X0070","X0071","X0072","X0073","X0074","X0075","X0076","X0077"
"X0078","X0079","X007A","X007B","X007C","X007D","X007E","X007F","X0080","X0081"
"X0082","X0083","X0084","X0085","X0086","X0087","X0088","X0089","X008A","X008B"
"X008C","X008D","X008E","X008F","X0090","X0091","X0092","X0093","X0094","X0095"
"X0096","X0097","X0098","X0099","X009A","X009B","X009C","X009D","X009E","X009F"
"X00A0","X00A1","X00A2","X00A3","X00A4","X00A5","X00A6","X00A7","X00A8","X00A9"
"X00AA","X00AB","X00AC","X00AD","X00AE","X00AF","X00B0","X00B1","X00B2","X00B3"
"X00B4","X00B5","X00B6","X00B7","X00B8","X00B9","X00BA","X00BB","X00BC","X00BD"
"X00BE","X00BF","X00C0","X00C1","X00C2","X00C3","X00C4","X00C5","X00C6","X00C7"
"X00C8","X00C9","X00CA","X00CB","X00CC","X00CD","X00CE","X00CF","X00D0","X00D1"
"X00D2","X00D3","X00D4","X00D5","X00D6","X00D7","X00D8","X00D9","X00DA","X00DB"
"X00DC","X00DD","X00DE","X00DF","X00E0","X00E1","X00E2","X00E3","X00E4","X00E5"
"X00E6","X00E7","X00E8","X00E9","X00EA","X00EB","X00EC","X00ED","X00EE","X00EF"
"X00F0","X00F1","X00F2","X00F3","X00F4","X00F5","X00F6","X00F7","X00F8","X00F9"

"D0000","D0001","D0002","D0003","D0004","D0005","D0006","D0007","D0008","D0009"
"D0010","D0011","D0012","D0013","D0014","D0015","D0016","D0017","D0018","D0019"
"D0020","D0021","D0022","D0023","D0024","D0025","D0026","D0027","D0028","D0029"
"D0030","D0031","D0032","D0033","D0034","D0035","D0036","D0037","D0038","D0039"
"D0040","D0041","D0042","D0043","D0044","D0045","D0046","D0047","D0048","D0049"
"D0050","D0051","D0052","D0053","D0054","D0055","D0056","D0057","D0058","D0059"
"D0060","D0061","D0062","D0063","D0064","D0065","D0066","D0067","D0068","D0069"
"D0070","D0071","D0072","D0073","D0074","D0075","D0076","D0077","D0078","D0079"
"D0080","D0081","D0082","D0083","D0084","D0085","D0086","D0087","D0088","D0089"
"D0090","D0091","D0092","D0093","D0094","D0095","D0096","D0097","D0098","D0099"
"D0100","D0101","D0102","D0103","D0104","D0105","D0106","D0107","D0108","D0109"
"D0110","D0111","D0112","D0113","D0114","D0115","D0116","D0117","D0118","D0119"
"D0120","D0121","D0122","D0123","D0124","D0125","D0126","D0127","D0128","D0129"
"D0130","D0131","D0132","D0133","D0134","D0135","D0136","D0137","D0138","D0139"
"D0140","D0141","D0142","D0143","D0144","D0145","D0146","D0147","D0148","D0149"
"D0150","D0151","D0152","D0153","D0154","D0155","D0156","D0157","D0158","D0159"
"D0160","D0161","D0162","D0163","D0164","D0165","D0166","D0167","D0168","D0169"
"D0170","D0171","D0172","D0173","D0174","D0175","D0176","D0177","D0178","D0179"
"D0180","D0181","D0182","D0183","D0184","D0185","D0186","D0187","D0188","D0189"
"D0190","D0191","D0192","D0193","D0194","D0195","D0196","D0197","D0198","D0199"
"D0200","D0201","D0202","D0203","D0204","D0205","D0206","D0207","D0208","D0209"
"D0210","D0211","D0212","D0213","D0214","D0215","D0216","D0217","D0218","D0219"
"D0220","D0221","D0222","D0223","D0224","D0225","D0226","D0227","D0228","D0229"
"D0230","D0231","D0232","D0233","D0234","D0235","D0236","D0237","D0238","D0239"
"D0240","D0241","D0242","D0243","D0244","D0245","D0246","D0247","D0248","D0249"

